filename,label,manipulation_type,bbox_xyxy
real_0000.jpg,0,none,
fake_0000_0_splice.jpg,1,splice,"[558, 178, 640, 284]"
fake_0000_1_local_recompression.jpg,1,local_recompression,"[616, 54, 699, 120]"
fake_0000_2_local_inconsistency.jpg,1,local_inconsistency,"[558, 859, 691, 958]"
fake_0000_3_text_overlay.jpg,1,text_overlay,"[432, 696, 488, 808]"
fake_0000_4_recompression.jpg,1,recompression,"[0, 0, 702, 1600]"
real_0001.jpg,0,none,
fake_0001_0_local_recompression.jpg,1,local_recompression,"[282, 600, 488, 678]"
fake_0001_1_local_inconsistency.jpg,1,local_inconsistency,"[46, 1354, 232, 1458]"
fake_0001_2_splice.jpg,1,splice,"[284, 928, 367, 984]"
fake_0001_3_text_overlay.jpg,1,text_overlay,"[73, 1247, 154, 1316]"
fake_0001_4_recompression.jpg,1,recompression,"[0, 0, 702, 1600]"
real_0002.jpg,0,none,
fake_0002_0_local_recompression.jpg,1,local_recompression,"[323, 821, 425, 871]"
fake_0002_1_text_overlay.jpg,1,text_overlay,"[580, 1470, 644, 1591]"
fake_0002_2_local_inconsistency.jpg,1,local_inconsistency,"[71, 505, 266, 564]"
fake_0002_3_recompression.jpg,1,recompression,"[0, 0, 702, 1600]"
fake_0002_4_splice.jpg,1,splice,"[521, 1010, 603, 1137]"
real_0003.jpg,0,none,
fake_0003_0_text_overlay.jpg,1,text_overlay,"[479, 1083, 581, 1178]"
fake_0003_1_local_recompression.jpg,1,local_recompression,"[348, 228, 493, 297]"
fake_0003_2_local_inconsistency.jpg,1,local_inconsistency,"[269, 1025, 435, 1109]"
fake_0003_3_recompression.jpg,1,recompression,"[0, 0, 702, 1600]"
fake_0003_4_splice.jpg,1,splice,"[165, 1104, 244, 1181]"
real_0004.jpg,0,none,
fake_0004_0_recompression.jpg,1,recompression,"[0, 0, 702, 1600]"
fake_0004_1_splice.jpg,1,splice,"[87, 995, 247, 1118]"
fake_0004_2_local_recompression.jpg,1,local_recompression,"[270, 1242, 473, 1303]"
